"Active (0/1)";"Name *";"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"UPC";"Short description";"Description"
0;"Látex Súper Pillow Top";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3016639;3016639;"Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad."
0;"Soya Súper Pillow Top";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3016619;3016619;"Natural Soya. Los beneficios naturales de la soya se conjugan en este colchón que brinda la más acogedora de las sensaciones. No produce alergias al hacer contacto con la piel, no se deforma y se adapta  perfectamente al contorno, favoreciendo la circulación sanguinea y eliminando los puntos de presión.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad."
0;"Flor de Azahar Súper Pillow Top";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3016659;3016659;"Natural Flor de Azahar. Su color nos transporta al mar Mediterráneo, donde el olor a brisa fresca de Azahar y su tacto aterciopelado nos hace sucumbir ante el más dulce sueño";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad."
0;"Café Súper Pillow Top";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3016649;3016649;"Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad."
0;"Algodón Súper Pillow Top";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3016629;3016629;"Natural algodón. La excepcional suavidad del algodón brinda un descanso inigualable, elevando la relajación a otro nivel con fibras especiales que absorben y expulsan la humedad del cuerpo, manteniendo el clima perfecto para un descanso ideal. ";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad."
0;"Café Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017264;3017264;"Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Látex Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017294;3017294;"Natural Latex. La naturaleza del latex te brinda en este colchón una temperatura estable que se traduce en frescura total durante toda la noche. Además, la suavidad y elasticidad se combinan para aportarle a tu sueño la máxima comodidad.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Soya Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017254;3017254;"Natural Soya. Los beneficios naturales de la soya se conjugan en este colchón que brinda la más acogedora de las sensaciones. No produce alergias al hacer contacto con la piel, no se deforma y se adapta  perfectamente al contorno, favoreciendo la circulación sanguinea y eliminando los puntos de presión.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Flor de Azahar Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017284;3017264;"Natural Flor de Azahar. Su color nos transporta al mar Mediterráneo, donde el olor a brisa fresca de Azahar y su tacto aterciopelado nos hace sucumbir ante el más dulce sueño";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Algodón Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017274;3017274;"Natural algodón. La excepcional suavidad del algodón brinda un descanso inigualable, elevando la relajación a otro nivel con fibras especiales que absorben y expulsan la humedad del cuerpo, manteniendo el clima perfecto para un descanso ideal. ";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Zona Cool Creación Plus Zella";"44,45";0;"20.00";"2018-10-01";"2018-10-10";3017384;3017384;"Creacion Plus Zella Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Top Master One Zella";"44,45";0;"20.00";"2018-10-01";"2018-10-10";3015115;3015115;"Top Master One Zella Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Viva Plus Zella";"44,45";0;"15.00";"2018-10-01";"2018-10-10";3017304;3017304;"Viva Plus Zella Colchón + somier";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Vital Zella";"44,45";0;"20.00";"2018-10-01";"2018-10-10";3016670;3016670;"Vital Zella Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Vital Plus Zella";"44,45";0;"20.00";"2018-10-01";"2018-10-10";3017359;3017359;"Vital Plus Zella Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Celebrity DC";"44,46";0;"15.00";"2018-10-01";"2018-10-10";3017367;3017367;"Celebrity DC Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Celebrity NF";"44,46";0;"15.03";"2018-10-01";"2018-10-10";3017381;3017381;"Celebrity NF Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Fame Colchón + Somier + Cabecero";"44,46";0;"15.02";"2018-10-01";"2018-10-10";3017321;3017321;"Fame Colchón + Somier + cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Fame Colchón + Somier";"44,46";0;"15.02";"2018-10-01";"2018-10-10";3017314;3017314;"Fame Colchón + Somier";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Prestige Odin Colchón + Somier + Cabecero";"44,46";0;"15.00";"2018-10-01";"2018-10-10";3014445;3014445;"Prestige Odin. Colchón + Somier + Cabecero";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Prestige Odin Colchón + Somier";"44,46";0;"15.00";"2018-10-01";"2018-10-10";3014437;3014445;"Prestige Odin. Colchón + Somier";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Vital Plus Zella";"12,24";0;"15.00";"2018-10-01";"2018-10-10";3017153;3017153;"Vital Plus Zella 42 cm";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Vital Zella";"12,24";0;"15.00";"2018-10-01";"2018-10-10";3017163;3017163;"Vital Zella 40 cm";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Vital Plus Zella";"12,24";0;"15.00";"2018-10-01";"2018-10-10";3017173;3017173;"Vital Plus  Zella 38 cm";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Top Master One Zella";"12,24";0;"15.00";"2018-10-01";"2018-10-10";3017183;3017183;"Top Master One Zella 37cm";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Zona Cool Creación Plus Zella";"12,24";0;"15.00";"2018-10-01";"2018-10-10";3017193;3017193;"Creación Plus Zella";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Colchón Master Prestige Odin 36 cm";"12";0;"10.00";"2018-10-01";"2018-10-10";3017143;3017143;;"El descanso como debe ser: de pies a cabeza. El verdadero descanso no admite excusas. El especialista en soporte para tu cuerpo. "
0;"Colchón Celebrity DC 30 cm";"12";0;"10.00";"2018-10-01";"2018-10-10";3017130;3017130;;"El descanso como debe ser: de pies a cabeza. El verdadero descanso no admite excusas. El especialista en soporte para tu cuerpo. "
0;"Celebrity N.F 32 cm";"12";0;"10.00";"2018-10-01";"2018-10-10";3017124;3017124;;"El descanso como debe ser: de pies a cabeza. El verdadero descanso no admite excusas. El especialista en soporte para tu cuerpo. "
0;"Colchón Master Fame 34 cm";"12";0;"10.00";"2018-10-01";"2018-10-10";3017118;3017118;;"El descanso como debe ser: de pies a cabeza. El verdadero descanso no admite excusas. El especialista en soporte para tu cuerpo. "
